   ,COD_DOCUMENTO,DES_NOME_PREFERIDO,DES_NOMES_ALTERNATIVOS,DBMS_LOB.SUBSTR(S01.TXT_EMENTA
137,541149,Lei nº 143 de 18/12/1935,LEI-143-1935-12-18,"Suspende a exigibilidade das obrigações civis e commerdaes no Estado do Rio Grande do Norte, durante sessenta dias"
138,541004,Lei nº 79 de 08/07/1935,LEI-79-1935-07-08,"Concede, com ordenado ou soldo por inteiro, a prorrogação de licença de que trata o § 2º, do art. 19, do decreto número 14.663, de 1921, e dá outras providencias"
139,541060,Lei nº 103 de 14/10/1935,LEI-103-1935-10-14,Concede premio no inventtor de machina para extrahir a céra de carnaúba
140,541039,Lei nº 93 de 05/09/1935,LEI-93-1935-09-05,"Declara feriado nacional, sómente para effeitos escolares, o dia 6 de setembro de 1935."
141,540839,Lei nº 19 de 02/02/1935,LEI-19-1935-02-02,Dispõe sobre a situação dos officiaes do Exercito nos cursos superiores
142,541100,Lei nº 120 de 27/11/1935,LEI-120-1935-11-27,"Autoriza o Poder Ezecutivo a abrir o credito especial, de 2.308:650$000, ouro, para aftender é restituição ao Governo do Estado de Alagôas, da taxa de 2%, ouro, arrecadada pela Alfendega de Maceió."
143,541134,Lei nº 136 de 14/12/1935,LEI-136-1935-12-14,"Modifica vários dispositivos da Lei n.º 38, de 4 de abril de 1935 e define novos crimes contra a ordem político social."
144,540950,Lei nº 57 de 24/05/1935,LEI-57-1935-05-24,"Abre, pelo Ministerio das Relações Exteriores, o credito especial de 10.400:000$000, para attender ás despesas a serem realizadas com a visita do Sr. Presidente da Republica ás Repúblicas do Uruguay e Argentina"
145,540836,Lei nº 17 de 01/02/1935,LEI-17-1935-02-01,"Autoriza a abrir, pelo Ministerio da Viação e Obras Publicas, o credito especial de 1.300:000$000 para regularizar a despesa já feita com a acquisição de oleo combustivel para a Estrada de Ferro Central do Brasil"
146,540853,Lei nº 23 de 11/02/1935,LEI-23-1935-02-11,"Revigora as disposições constantes do art. 1º e seus parágrafos, do Decreto nº 22.106, de 18 de novembro de 19321, e dá outras providências."
147,541014,Lei nº 83 de 23/07/1935,LEI-83-1935-07-23,Concede créditos á Faculdade de Medicina da Bahia
